"","X","Y"
"1",85.678,20
"2",84.955,20.1
"3",92.301,23.796
"4",91.28,26.431
"5",92.005,29.163
"6",95.954,36.315
"7",98.201,38.799
"8",99.455,46.406
"9",109.782,55.865
"10",130.641,66.576
"11",142.748,81.258
"12",147.27,85.839
"13",156.817,89.516
"14",159.435,92.791
"15",150.82,91.084
"16",132.662,87.956
"17",128.298,93.918
"18",130.56,102.446
"19",128.459,105.428
"20",114.862,103.129
"21",97.163,90.245
"22",88.2,86.373
"23",79.596,83.508
"24",74.753,78.734
"25",67.146,74.683
"26",53.77,71.598
"27",43.637,68.673
"28",30.514,61.166
"29",20.495,43.848
"30",0,41.562
